estStatusDesc,postal,rowNo,addr,estName,infrAction,lon,enfrOutcome,unit,infrTypeDesc,enfrAmountFined,inspStatusDesc,enfrOutcomeDate,lat,inspDate,servTypeDesc
Pass,M5X,4702,130 KING ST W,PORTICO,,-79.38345,,,,,Pass,,43.648045,2018-10-23T00:00:00,Aesthetics
Pass,M8Y,6183,681 THE QUEENSWAY,LAN DAI NAILS & SPA,,-79.499466,,,,,Pass,,43.627,2018-12-13T00:00:00,Aesthetics
Pass,M6B,7327,503 MARLEE AVE,BEC SALON,,-79.4430220256,,FLR-2,,,Pass,,43.7084228075,2018-09-04T00:00:00,Barbering & Hairdressing
Pass,M1V,16,668 SILVER STAR BLVD,PRO YOU SALON,Notice to Comply,-79.3011125591,,UNIT-215,Semi-critical items cleaned then disinfected with an ILD or HLD between clients,,Conditional,,43.8230976953,2017-04-03T00:00:00,Barbering & Hairdressing
Pass,M6B,4505,145 MARLEE AVE,LUIGI'S HAIRSTYLING,,-79.4410303906,,UNIT-A,,,Pass,,43.7032633519,2019-04-08T00:00:00,Aesthetics
Pass,M2M,924,6103 YONGE ST,NANAZ BEAUTY SALON,Notice to Comply,-79.41804044109999,,FLR-2,Work surfaces cleaned then disinfected with a LLD daily,,Conditional,,43.791318688500006,2018-01-25T00:00:00,Nails
Pass,M5N,12724,468 EGLINTON AVE W,ENRICO BEAUTY SALON,,-79.4123710808,,UNIT-1,,,Pass,,43.7040583661,2018-09-26T00:00:00,Barbering & Hairdressing
Pass,M4S,12410,585 MOUNT PLEASANT RD,VANESSA NAILS AND SPA,,-79.38802203350001,,,,,Pass,,43.703679166099995,2018-05-16T00:00:00,Nails
Pass,M2N,10802,234 SHEPPARD AVE W,SPA 234,,-79.4224527057,,,,,Pass,,43.759176556199996,2017-07-14T00:00:00,Nails
Pass,M1P,503,2159 LAWRENCE AVE E,R AND D BEAUTY HAIR SALON,Notice to Comply,-79.28408320369998,,,Appropriate contact time used on approved disinfectants,,Conditional,,43.7472400975,2017-10-02T00:00:00,Aesthetics
Pass,M4K,4704,373 BROADVIEW AVE,LINA TRAN STUDIO INC,,-79.3525202174,,,,,Pass,,43.6658128983,2019-02-08T00:00:00,Barbering & Hairdressing
Pass,M6J,10682,848 DUNDAS ST W,HELIA BEAUTY SALON,,-79.41032462220001,,,,,Pass,,43.6517297318,2018-10-18T00:00:00,Aesthetics
Pass,M5R,9609,11 BELMONT ST,HAIR FLARE SALON,,-79.3896772933,,,,,Pass,,43.675324283900004,2017-08-10T00:00:00,Barbering & Hairdressing
Pass,M2J,12289,2025 SHEPPARD AVE E,LINDA SPA AND NAILS,,-79.33043881430001,,,,,Pass,,43.775370584399994,2017-06-23T00:00:00,Body Piercing
Pass,M6M,10891,2266 KEELE ST,BEAUTY AND COSMETIC SALON,,-79.47694734630002,,,,,Pass,,43.70234458109999,2017-08-10T00:00:00,Barbering & Hairdressing
Pass,M6K,6352,100 WESTERN BATTERY RD,SPARKS IN LIBERTY,,-79.41579553449999,,UNIT-1,,,Pass,,43.6396262403,2017-11-23T00:00:00,Aesthetics
Pass,M2J,681,1800 SHEPPARD AVE E,SUNSHINE SPA & NAILS,Notice to Comply,-79.34449821529999,,UNIT-1044,Single-use items used on one client only,,Conditional,,43.7777482543,2017-11-21T00:00:00,Nails
Pass,M6M,9034,605 ROGERS RD,PEDI N NAILS,,-79.47451334739999,,UNIT-B002,,,Pass,,43.681618829499996,2018-10-04T00:00:00,Aesthetics
Pass,M2M,7313,6349 YONGE ST,THE ART OF BEAUTY,,-79.4193184686,,UNIT-102,,,Pass,,43.796227225100004,2018-06-28T00:00:00,Nails
Pass,M5M,8740,365 FAIRLAWN AVE,EXCLUSIVE BY BEATRICE,,-79.4173684335,,FLR-2,,,Pass,,43.7278144993,2017-12-11T00:00:00,Nails
Pass,M3K,12984,954 WILSON AVE,ALEXANDRIA'S BEAUTY SALON,,-79.4710114449,,,,,Pass,,43.72996850689999,2017-07-04T00:00:00,Barbering & Hairdressing
Pass,M1X,1552,3351 MARKHAM RD,SOFT TOUCH SPA AND HAIR,Notice to Comply,-79.2503756097,,UNIT-102,Linen laundered or discarded after each client & maintained clean and sanitary,,Conditional,,43.836134330600004,2017-11-10T00:00:00,Aesthetics
Pass,M6P,8718,2909 DUNDAS ST W,COSIMO'S HAIRSTYLIST,,-79.4663820705,,,,,Pass,,43.665316750500004,2019-04-11T00:00:00,Barbering & Hairdressing
Pass,M9W,8228,2261 ISLINGTON AVE,FIRST CHOICE HAIR CUTTERS,,-79.55463452859999,,UNIT-4,,,Pass,,43.7159617792,2018-05-31T00:00:00,Aesthetics
Pass,M6A,10690,3335 BATHURST ST,CUTE CUTICLES NAILS & SPA,,-79.4309593003,,,,,Pass,,43.7257336201,2019-03-11T00:00:00,Nails
Pass,M5A,10056,345 SHERBOURNE ST,THE REKAI CENTRE,,-79.3724264996,,,,,Pass,,43.66270717689999,2018-09-26T00:00:00,Barbering & Hairdressing
Pass,M4M,8533,20 LESLIE ST,TORONTO MEDICAL & COSMETIC TATTOO CLINIC,,-79.3295328975,,UNIT-222,,,Pass,,43.6602268584,2017-05-18T00:00:00,Tattooing
Pass,M3J,12536,1123 LODESTAR RD,THE NAIL GALLERY,,-79.4654530456,,,,,Pass,,43.75969340010001,2019-04-29T00:00:00,Aesthetics
Pass,M1E,2978,4352 KINGSTON RD,CARING SISTERS BEAUTY SPA,,-79.19167415279999,,UNIT-6,,,Pass,,43.76614806470001,2017-12-01T00:00:00,Aesthetics
Pass,M9C,11681,170 NORTH QUEEN ST,CATHERINE'S SKIN CARE,,-79.5584241592,,UNIT-K19,,,Pass,,43.619171988599994,2018-01-17T00:00:00,Nails
Pass,M6S,6201,2255 BLOOR ST W,D2E HAIR BOUTIQUE,,-79.47763327189999,,FLR-2,,,Pass,,43.650662570200005,2018-03-07T00:00:00,Barbering & Hairdressing
Pass,M5C,5464,105 VICTORIA ST,ONE O FIVE HAIR STUDIO,,-79.37786,,UNIT-1,,,Pass,,43.65218,2018-12-14T00:00:00,Nails
Pass,M1L,5470,789 WARDEN AVE,CITY NAILS & SPA,,-79.2861479509,,UNIT-3,,,Pass,,43.7260461246,2018-03-28T00:00:00,Nails
Pass,M4P,715,2300 YONGE ST,RAY DANIEL SALON AND SPA,Notice to Comply,-79.399083527,,UNIT-S27 GROUND ,Non-critical items cleaned then disinfected with a LLD between clients,,Conditional,,43.70715757399999,2017-12-04T00:00:00,Barbering & Hairdressing
Pass,M1T,9785,2918 SHEPPARD AVE E,HAIR TIM,,-79.32233451340001,,,,,Pass,,43.7759444679,2019-02-13T00:00:00,Barbering & Hairdressing
Pass,M4L,10200,1479 GERRARD ST E,APOLLO BEAUTY SALON,,-79.3205072304,,,,,Pass,,43.6724427769,2019-01-03T00:00:00,Ear Piercing
Pass,M4G,11055,1820 BAYVIEW AVE,LOOK HAIR STUDIO,,-79.37769467060001,,2 ND FLOOR,,,Pass,,43.7128368276,2017-12-13T00:00:00,Aesthetics
Pass,M4V,7878,1 BALMORAL AVE,CHI SPA,,-79.3934229309,,STE-5,,,Pass,,43.6855437488,2018-12-14T00:00:00,Aesthetics
Pass,M5R,1926,26 BELLAIR ST,CELLAR SALON,Notice to Comply,-79.39140564729999,,,Non-critical items cleaned then disinfected with a LLD between clients,,Conditional,,43.670792622600004,2018-11-21T00:00:00,Barbering & Hairdressing
Pass,M6M,12759,605 ROGERS RD,ELEGANT SPA & STUDIO,,-79.47451334739999,,UNIT-4,,,Pass,,43.681618829499996,2017-06-16T00:00:00,Aesthetics
Pass,M1P,8596,300 BOROUGH DR,TRADE SECRETS,,-79.25802190479999,,UNIT-99A,,,Pass,,43.7762918562,2018-03-05T00:00:00,Barbering & Hairdressing
Pass,M2K,12099,27 REAN DR,HAND & STONE MASSAGE & FACIAL SPA,,-79.3825491022,,UNIT-3,,,Pass,,43.76758683520001,2018-10-29T00:00:00,Aesthetics
Pass,M1S,4627,4465 SHEPPARD AVE E,DAVID IMAGE DESIGN,,-79.2657974432,,UNIT-6,,,Pass,,43.7877398913,2017-04-07T00:00:00,Barbering & Hairdressing
Pass,M6H,6591,1081 COLLEGE ST,FILA SALON,,-79.4318935107,,,,,Pass,,43.652570788599995,2018-11-23T00:00:00,Nails
Pass,M6A,2802,789 LAWRENCE AVE W,SASSI NAILZ,,-79.453929677,,,,,Pass,,43.7138263966,2017-11-16T00:00:00,Nails
Pass,M1L,3839,101 LEBOVIC AVE,ARONA BEAUTY SPA,,-79.28854179060001,,UNIT-F12,,,Pass,,43.72178554600001,2017-07-10T00:00:00,Nails
Pass,M2M,1612,6176 YONGE ST,J J BEAUTY SALON,Notice to Comply,-79.419173648,,,Non-critical items maintained in a sanitary manner before use,,Conditional,,43.793295856099995,2018-08-27T00:00:00,Barbering & Hairdressing
Pass,M5J,6131,220 BAY ST,MICHELANGELO'S,,-79.3801175728,,UNIT-2,,,Pass,,43.647446781599996,2019-01-11T00:00:00,Barbering & Hairdressing
Pass,M5V,11794,381 FRONT ST W,REMEDE SPA,,-79.3927744442,,FLR-2,,,Pass,,43.642867071400005,2018-07-10T00:00:00,Aesthetics
Pass,M3C,3531,170 THE DONWAY W,THE HAIR GALLERY,,-79.348047129,,STE-120,,,Pass,,43.7353861596,2017-06-14T00:00:00,Barbering & Hairdressing
Pass,M8V,3745,2788 LAKE SHORE BLVD W,LADY EMPIRE,,-79.5000948562,,UNIT-2,,,Pass,,43.602192353999996,2018-07-12T00:00:00,Nails
Pass,M1S,9614,4438 SHEPPARD AVE E,ELEGANT HAIR SALON,,-79.2677466293,,UNIT-226,,,Pass,,43.788036467,2018-09-12T00:00:00,Barbering & Hairdressing
Pass,M1X,9315,3351 MARKHAM RD,SOFT TOUCH SPA AND HAIR,,-79.2503756097,,UNIT-102,,,Pass,,43.836134330600004,2018-05-29T00:00:00,Nails
Pass,M4L,7831,500 KINGSTON RD,TINA'S HAIR CARE,,-79.302737393,,,,,Pass,,43.6779946741,2017-08-01T00:00:00,Barbering & Hairdressing
Pass,M5V,9050,645 KING ST W,BEAUTY LINE NAIL SPA,,-79.40199086199999,,UNIT-100,,,Pass,,43.643820643199994,2018-04-03T00:00:00,Nails
Pass,M4G,12107,1560 BAYVIEW AVE,KIM'S NAILS SALON BAYVIEW SPA,,-79.375340544,,UNIT-201,,,Pass,,43.70523668479999,2018-12-04T00:00:00,Nails
Pass,M8Y,7896,706 THE QUEENSWAY,NICK'S BARBER SALON,,-79.50058,,UNIT-A,,,Pass,,43.626953,2019-04-05T00:00:00,Barbering & Hairdressing
Pass,M2N,3744,143 SHEPPARD AVE W,NATURAL SCENTS MEDICAL SPA,,-79.4181818424,,,,,Pass,,43.7597104576,2018-09-26T00:00:00,Aesthetics
Pass,M8Y,12307,681 THE QUEENSWAY,LAN DAI NAILS & SPA,,-79.499466,,,,,Pass,,43.627,2018-12-13T00:00:00,Micropigmentation
Pass,M5R,7639,112 AVENUE RD,RITA KAPTUR,,-79.39637144550001,,,,,Pass,,43.67346357130001,2018-01-12T00:00:00,Nails
Pass,M4M,3764,344 PAPE AVE,STAR NAILS,,-79.3407171965,,,,,Pass,,43.668446117799995,2018-03-19T00:00:00,Aesthetics
Pass,M6C,8531,1182 EGLINTON AVE W,FORET NAILS & SPA,,-79.4333572068,,,,,Pass,,43.6995608736,2017-12-14T00:00:00,Nails
Pass,M6M,3737,2636 EGLINTON AVE W,KEELESDALE NAILS,,-79.4741954209,,,,,Pass,,43.6906405504,2018-04-26T00:00:00,Barbering & Hairdressing
Pass,M1C,10661,305 PORT UNION RD,NS HAIR & SPA,,-79.1404501837,,UNIT-10,,,Pass,,43.7900975495,2018-03-21T00:00:00,Barbering & Hairdressing
Pass,M1M,7762,3093 KINGSTON RD,SUSIE'S SHEARS,,-79.2298899196,,,,,Pass,,43.7269777251,2017-06-28T00:00:00,Aesthetics
Pass,M5T,12710,138 AUGUSTA AVE,GRACE HAIR SALON,,-79.4014701851,,,,,Pass,,43.6523429103,2017-06-08T00:00:00,Barbering & Hairdressing
Pass,M8Y,2616,727 THE QUEENSWAY,HORTENSIA NAIL & SPA,,-79.502266,,,,,Pass,,43.62629,2018-12-27T00:00:00,Aesthetics
Pass,M6E,6330,1283 ST CLAIR AVE W,DOMY'S HAIR SALON,,-79.44757472479999,,,,,Pass,,43.676712606,2019-02-08T00:00:00,Barbering & Hairdressing
Pass,M1L,5128,828 WARDEN AVE,FIRST CHOICE HAIRCUTTERS,,-79.2899345382,,,,,Pass,,43.7253260078,2018-04-17T00:00:00,Aesthetics
Pass,M1B,12424,91 RYLANDER BLVD,GJ SKIN CARE,,-79.1526006703,,UNIT-19,,,Pass,,43.7977563442,2018-03-15T00:00:00,Nails
Pass,M9C,9760,148 NORTH QUEEN ST,NICE ONE NAILS,,-79.553843,,UNIT-G2,,,Pass,,43.6195011,2017-09-19T00:00:00,Nails
Pass,M5J,6656,33 UNIVERSITY AVE,LA JOLIE FEMME SALON & SPA,,-79.3837,,UNIT-4,,,Pass,,43.646267,2017-10-23T00:00:00,Aesthetics
Pass,M6E,6495,1976 EGLINTON AVE W,SANDRA HAIR SALON,,-79.4544326561,,,,,Pass,,43.69499995020001,2018-08-01T00:00:00,Nails
